Short_reference,Publication_year,Title,DOI,Journal,Taxonomic_group,Climate_change_stressor,Life_stage_exposed,Life_stage_tested,Trait_category,Trait_details,Additional_comments
Crear_et_al_2019,2019,The impacts of warming and hypoxia on the performance of an obligate ram ventilator,10.1093/conphys/coz026,Conservation Physiology,Fish,"Temperature, O₂/CO₂",Larvae or juveniles,Larvae or juveniles,"Environmental tolerance and preference, Energetics and metabolism",oxygen consumption; Pcrit,NA
Chadwick_et_al_2015,2015,"Thermal onset of cellular and endocrine stress responses correspond to ecological limits in brook trout, an iconic cold-water fish",10.1093/conphys/cov017,Conservation Physiology,Fish,Temperature,Larvae or juveniles,Larvae or juveniles,"Environmental tolerance and preference, Immune function and stress physiology",HSP; plasma cortisol; plasma glucose,NA
Collins_et_al_2013,2013,"Hypoxia tolerance is conserved across genetically distinct sub-populations of an iconic, tropical Australian teleost (Lates calcarifer)",10.1093/conphys/cot029,Conservation Physiology,Fish,O₂/CO₂,Larvae or juveniles,Larvae or juveniles,"Environmental tolerance and preference, Energetics and metabolism",oxygen consumption; Pcrit,NA
Zillig_et_al_2024,2024,Effects of acclimation temperature and feed restriction on the metabolic performance of green sturgeon,10.1093/conphys/coae021,Conservation Physiology,Fish,"Temperature, Other",Larvae or juveniles,Larvae or juveniles,"Energetics and metabolism, Development",oxygen consumption; body size,NA
Wells_et_al_2016,2016,Limited variability in upper thermal tolerance among pure and hybrid populations of a cold-water fish,10.1093/conphys/cow063,Conservation Physiology,Fish,Temperature,Larvae or juveniles,Larvae or juveniles,Environmental tolerance and preference,CTmax,NA
Morash_et_al_2016,2016,Pass the salt: physiological consequences of ecologically relevant hyposmotic exposure in juvenile gummy sharks (Mustelus antarcticus) and school sharks (Galeorhinus galeus),10.1093/conphys/cow036,Conservation Physiology,Fish,Salinity,Larvae or juveniles,Larvae or juveniles,"Environmental tolerance and preference, Energetics and metabolism, Osmoregulation",NKA activity; blood biochemistry; HSP; ubiquitin; oxygen consumption,NA
Biela_et_al_2023,2023,Differential heat shock protein responses in two species of Pacific salmon and their utility in identifying heat stress,10.1093/conphys/coad092,Conservation Physiology,Fish,Temperature,Larvae or juveniles,Larvae or juveniles,Environmental tolerance and preference,HSP,NA
Lassoued_et_al_2021,2021,The Mediterranean mussel Mytilus galloprovincialis: responses to climate change scenarios as a function of the original habitat,10.1093/conphys/coaa114,Conservation Physiology,Other invertebrate,"Temperature, O₂/CO₂",Larvae or juveniles,Larvae or juveniles,Development,growth rate,NA
Strowbridge_et_al_2021,2021,Acute measures of upper thermal and hypoxia tolerance are not reliable predictors of mortality following environmental challenges in rainbow trout (Oncorhynchus mykiss),10.1093/conphys/coab095,Conservation Physiology,Fish,"Temperature, O₂/CO₂",Larvae or juveniles,Larvae or juveniles,Environmental tolerance and preference,"CTmax, hypoxia tolerance; survival",NA
Kelly_et_al_2014,2014,Ice age fish in a warming world: minimal variation in thermal acclimation capacity among lake trout (Salvelinus namaycush) populations,10.1093/conphys/cou025,Conservation Physiology,Fish,Temperature,Larvae or juveniles,Larvae or juveniles,"Environmental tolerance and preference, Energetics and metabolism",CTmax; oxygen consumption,NA
Bugg_et_al_2020,2020,Effects of acclimation temperature on the thermal physiology in two geographically distinct populations of lake sturgeon (Acipenser fulvescens),10.1093/conphys/coaa087,Conservation Physiology,Fish,Temperature,Larvae or juveniles,Larvae or juveniles,"Environmental tolerance and preference, Energetics and metabolism, Immune function and stress physiology",CTmax; oxygen consumption; HSP; glutathione peroxidase; hepatosomatic index,NA
Poletto_et_al_2017,2017,"Unusual aerobic performance at high temperatures in juvenile Chinook salmon, Oncorhynchus tshawytscha",10.1093/conphys/cow067,Conservation Physiology,Fish,Temperature,Larvae or juveniles,Larvae or juveniles,"Environmental tolerance and preference, Energetics and metabolism",survival; oxygen consumption,NA
McLeod_et_al_2013,2013,Climate change and the performance of larval coral reef fishes: the interaction between temperature and food availability,10.1093/conphys/cot024,Conservation Physiology,Fish,"Temperature, Interaction with non-climatic stressor",Larvae or juveniles,Larvae or juveniles,"Environmental tolerance and preference, Energetics and metabolism, Development",body size; survival; oxygen consumption; growth rate; development time,NA
Almeida_et_al_2022,2022,"Effects of exposure to elevated temperature and different food levels on the escape response and metabolism of early life stages of white seabream, Diplodus sargus",10.1093/conphys/coac023,Conservation Physiology,Fish,"Temperature, Interaction with non-climatic stressor",Larvae or juveniles,Larvae or juveniles,"Energetics and metabolism, Development",body size; oxygen consumption,NA
Pasparakis_et_al_2023,2023,"Effects of turbidity, temperature and predation cue on the stress response of juvenile delta smelt",10.1093/conphys/coad036,Conservation Physiology,Fish,"Temperature, Interaction with non-climatic stressor",Larvae or juveniles,Larvae or juveniles,"Environmental tolerance and preference, Energetics and metabolism, Immune function and stress physiology, Development",survival; cortisol; glucose; lactate; body condition,NA
Gilbert_et_al_2020,2020,Warmer temperature and provision of natural substrate enable earlier metamorphosis in the critically endangered Baw Baw frog,10.1093/conphys/coaa030,Conservation Physiology,Amphibian,Temperature,Larvae or juveniles,Larvae or juveniles,Development,growth rate; development time; body size,NA
Lundsgaard_et_al_2020,2020,"Effects of ultraviolet-B radiation on physiology, immune function and survival is dependent on temperature: implications for amphibian declines",10.1093/conphys/coaa002,Conservation Physiology,Amphibian,"Temperature, Other",Larvae or juveniles,Larvae or juveniles,"Environmental tolerance and preference, Energetics and metabolism, Immune function and stress physiology, Development","growth rate; oxygen consumption; antioxidant, leucocyte count; neutrophil count; survival",NA
Verhille_et_al_2016,2016,High thermal tolerance of a rainbow trout population near its southern range limit suggests local thermal adjustment,10.1093/conphys/cow057,Conservation Physiology,Fish,Temperature,Larvae or juveniles,Larvae or juveniles,Energetics and metabolism,oxygen consumption,NA
Courtney_et_al_2015,2015,"Long-term changes in food availability mediate the effects of temperature on growth, development and survival in striped marsh frog larvae: implications for captive breeding programmes",10.1093/conphys/cov029,Conservation Physiology,Amphibian,"Temperature, Interaction with non-climatic stressor",Larvae or juveniles,Larvae or juveniles,"Environmental tolerance and preference, Development",survival; body size; development time,NA
Pauli_et_al_2017,2017,Effects of ambient oxygen and size-selective mortality on growth and maturation in guppies,10.1093/conphys/cox010,Conservation Physiology,Fish,O₂/CO₂,Larvae or juveniles,Larvae or juveniles,Development,growth rate; body size,NA
Raby_et_al_2020,2020,Post-exercise respirometry underestimates maximum metabolic rate in juvenile salmon,10.1093/conphys/coaa063,Conservation Physiology,Fish,Temperature,Larvae or juveniles,Larvae or juveniles,Energetics and metabolism,oxygen consumption,NA
Goldstein_et_al_2017,2017,The effect of temperature on development and behaviour of relict leopard frog tadpoles,10.1093/conphys/cow075,Conservation Physiology,Amphibian,Temperature,Larvae or juveniles,Larvae or juveniles,"Environmental tolerance and preference, Development",survival; body size; development time; thermoregulation,NA
Chretien_and_Chapman_2016,2016,"Tropical fish in a warming world: thermal tolerance of Nile perch Lates niloticus (L.) in Lake Nabugabo, Uganda",10.1093/conphys/cow062,Conservation Physiology,Fish,Temperature,Larvae or juveniles,Larvae or juveniles,"Environmental tolerance and preference, Energetics and metabolism",oxygen consumption; CTmax,NA
Roy_and_Seebacher_2020,2020,Mismatched light and temperature cues disrupt locomotion and energetics via thyroid-dependent mechanisms,10.1093/conphys/coaa051,Conservation Physiology,Fish,"Temperature, Interaction with non-climatic stressor",Larvae or juveniles,Larvae or juveniles,Energetics and metabolism,oxygen consumption; mitochondrial bioenergetics,NA
Macnaughton_et_al_2018,2018,Using the shuttlebox experimental design to determine temperature preference for juvenile Westslope Cutthroat Trout (Oncorhynchus clarkii lewisi),10.1093/conphys/coy018,Conservation Physiology,Fish,Temperature,Larvae or juveniles,Larvae or juveniles,Environmental tolerance and preference,thermoregulation,NA
Terrell_et_al_2021,2021,Physiological impacts of temperature variability and climate warming in hellbenders (Cryptobranchus alleganiensis),10.1093/conphys/coab079,Conservation Physiology,Amphibian,Temperature,Larvae or juveniles,Larvae or juveniles,"Immune function and stress physiology, Development",bacteria-killing ability; neutrophil count; lymphocyte count; body size,NA
