Short_reference,Publication_year,Title,DOI,Journal,Taxonomic_group,Climate_change_stressor,Life_stage_exposed,Life_stage_tested,Trait_category,Trait_details,Additional_comments
Moeller_et_al_2017,2017,"Dehydration enhances multiple physiological defense mechanisms in a desert lizard, Heloderma suspectum",10.1242/jeb.150367,Journal of Experimental Biology,Reptile,Humidity/Water availability,Adults,Adults,"Osmoregulation, Immune function and stress physiology","multiple measures of innate immunity,  plasma concentrations of glucocorticoids",NA
Hidalgo_et_al_2018,2018,"Distinct physiological, biochemical and morphometric adjustments in the malaria vectors Anopheles gambiae and A. coluzzii as means to survive dry season conditions in Burkina Faso",10.1242/jeb.174433,Journal of Experimental Biology,Insect,Humidity/Water availability,Embryos,Adults,"Energetics and metabolism, Osmoregulation","metabolic rate, water loss rate, FLIGHT ACTIVITY, ALLOMETRIC MEASURES, Cuticular hydrocarbons,AKH-related gene expression variations",NA
Jochmans-Lemoine_et_al_2015,2015,Divergent physiological responses in laboratory rats and mice raised at high altitude,10.1242/jeb.112862,Journal of Experimental Biology,Mammal,O₂/CO₂,Embryos,Adults,"Energetics and metabolism, Cardiovascular physiology, Immune function and stress physiology",ventilatory parameters;Hematological parameters; lung histology and morphology; allometric scaling;Oxygen consumption (V̇O2);CO2 production (V̇CO2),NA
McCracken_et_al_2020,2020,The relationship between longevity and diet is genotype dependent and sensitive to desiccation in Drosophila melanogaster,10.1242/jeb.230185,Journal of Experimental Biology,Insect,"Other, Humidity/Water availability",Adults,Adults,Development,longevity; fecundity,NA
Else_2016,2016,The thermal dependence of Na+ flux in isolated liver cells from ectotherms and endotherms,10.1242/jeb.136747,Journal of Experimental Biology,"Fish, Reptile, Amphibian",Temperature,Embryos,Adults,Energetics and metabolism,Na +flux measurement;Tissue metabolism;Liver cell isolation and culture,NA
MacMillan_et_al_2018,2018,Anti-diuretic activity of a CAPA neuropeptide can compromise Drosophila chill tolerance,10.1242/jeb.185884,Journal of Experimental Biology,Insect,Temperature,Adults,Adults,"Environmental tolerance and preference, Osmoregulation",Chill coma recovery; Malpighian tubule function,NA
Acharya-Patel_et_al_2018,2018,"Cardiorespiratory interactions in the Pacific spiny dogfish, Squalus suckleyi",10.1242/jeb.183830,Journal of Experimental Biology,Fish,O₂/CO₂,Adults,Adults,Cardiovascular physiology,Cardiorespiratory variables;Heart rate variability;Cardiorespiratory synchrony,NA
Li_et_al_2018,2018,Are the surface areas of the gills and body involved with changing metabolic scaling with temperature?,10.1242/jeb.174474,Journal of Experimental Biology,Fish,Temperature,Adults,Adults,"Energetics and metabolism, Development",gill surface area; gill mass; body mass; resting metabolic rate,NA
Kraskura_and_Nelson_2020,2020,"Hypoxia tolerance is unrelated to swimming metabolism of wild, juvenile striped bass (Morone saxatilis)",10.1242/jeb.217125,Journal of Experimental Biology,Fish,O₂/CO₂,Adults,Adults,Energetics and metabolism,hypoxia tolerance;oxygen consumption rate,NA
Zuluaga_and_ Danner_2023,2023,Acute stress and restricted diet reduce bill-mediated heat dissipation in the song sparrow (Melospiza melodia): implications for optimal thermoregulation,10.1242/jeb.245316,Journal of Experimental Biology,Bird,Other,Adults,Adults,"Environmental tolerance and preference, Development",bill size; thermoregulation,NA
Mantovani_and_McNamara_2021,2021,Contrasting strategies of osmotic and ionic regulation in freshwater crabs and shrimps: gene expression of gill ion transporters,10.1242/jeb.233890,Journal of Experimental Biology,Other invertebrate,Salinity,Adults,Adults,Osmoregulation,Time course of changes in osmoregulatory parameter;hemolymph osmolality; time course of changes in ion transporter gene expression,NA
Elmer_et_al_2017,2017,"Oxidative ecology of paternal care in wild smallmouth bass, Micropterus dolomieu",10.1242/jeb.153775,Journal of Experimental Biology,Fish,O₂/CO₂,Adults,"Larvae or juveniles, Adults","Energetics and metabolism, Reproduction, Development",oxidative stress;nesting success; life-history traits,NA
Mat_et_al_2022,2022,Fatty acid oxidation: a neglected factor in understanding the adjustment of mitochondrial function to cold temperatures,10.1242/jeb.244934,Journal of Experimental Biology,Other invertebrate,Temperature,Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism, Development",Mitochondrial oxidative phosphorylation;fatty acid; survival;cold acclimation,NA
Hardison_et_al_2021,2021,Diet mediates thermal performance traits: implications for marine ectotherms,10.1242/jeb.242846,Journal of Experimental Biology,Fish,"Temperature, Interaction with non-climatic stressor",Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism, Cardiovascular physiology",Intermittent flow respirometry;sprint speed; thermal limits; growth;tissue assays;Thermal limits: Arrhenius breakpoint temperature test;ECG analyses,NA
Borowiec_et_al_2015,2015,Distinct physiological strategies are used to cope with constant hypoxia and intermittent hypoxia in killifish (Fundulus heteroclitus),10.1242/jeb.114579,Journal of Experimental Biology,Fish,O₂/CO₂,Adults,Adults,"Energetics and metabolism, Development",Respirometry experiments;Gill morphometrics;Muscle histology; enzyme assays;,NA
Giomi_et_al_2016,2016,"The importance of thermal history: costs and benefits of heat exposure in a tropical, rocky shore oyster",10.1242/jeb.128892,Journal of Experimental Biology,Other invertebrate,Temperature,Adults,Adults,"Energetics and metabolism, Development",hsp70 mRNA expression;Feeding and assimilation responses;mortality;Respirometric measurements,NA
Li_et_al_2024,2024,Phenotypic flexibility in metabolic adjustments and digestive function in white-shouldered starlings: responses to short-term temperature acclimation,10.1242/jeb.246214,Journal of Experimental Biology,Bird,Temperature,Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism, Development","basal metabolism;morphological, physiological and biochemical state of its tissues and organs;cytochrome c oxidase; basal metabolic rate;gross energy intake (GEI), feces energy (FE) and digestive energy intake (DEI)",NA
Jensen_et_al_2019,2019,Tissue-dependent variation of hydrogen sulfide homeostasis in anoxic freshwater turtles,10.1242/jeb.203976,Journal of Experimental Biology,Reptile,"Temperature, O₂/CO₂",Adults,Adults,Energetics and metabolism,hydrogen sulfide homeostasis,NA
McArley_et_al_2017,2017,Chronic warm exposure impairs growth performance and reduces thermal safety margins in the common triplefin fish (Forsterygion lapillum),10.1242/jeb.162099,Journal of Experimental Biology,Fish,Temperature,Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism, Development",growth;metabolism; upper thermal tolerance;metabolic rate,NA
Howard_et_al_2015,2015,Tropical flatback turtle (Natator depressus) embryos are resilient to the heat of climate change,10.1242/jeb.118778,Journal of Experimental Biology,Reptile,Temperature,Embryos,Larvae or juveniles,"Reproduction, Development",hatching success; body size;embryonic development;sex ratio,NA
Hraoui_et_al_2021,2021,"Mitochondrial responses towards intermittent heat shocks in the eastern oyster, Crassostrea virginica",10.1242/jeb.242745,Journal of Experimental Biology,Other invertebrate,Temperature,Adults,Adults,Energetics and metabolism,mitochondrial oxygen consumption,NA
Rivera_et_al_2021,2021,Plasticity in parental effects confers rapid larval thermal tolerance in the estuarine anemone Nematostella vectensis,10.1242/jeb.236745,Journal of Experimental Biology,Other invertebrate,Temperature,Adults,Larvae or juveniles,Environmental tolerance and preference,larval thermal tolerance,NA
McCoy_et_al_2020,2020,Both maternal and embryonic exposure to mild hypoxia influence embryonic development of the intertidal gastropod Littorina littorea,10.1242/jeb.221895,Journal of Experimental Biology,Other invertebrate,O₂/CO₂,"Embryos, Adults","Embryos, Larvae or juveniles",Development,growth and development of embryos; hatchling size and success; survival;development;,NA
Steel_et_al_2019,2019,"An appetite for invasion: digestive physiology, thermal performance and food intake in lionfish (Pterois spp.)",10.1242/jeb.209437,Journal of Experimental Biology,Fish,Temperature,Adults,Adults,Energetics and metabolism,Specific dynamic action;feeding frequency; standard metabolic rate;,NA
Ojaghi_and_ Pamenter_2024,2024,Hypoxia impairs blood glucose homeostasis in naked mole-rat adult subordinates but not queens,10.1242/jeb.247537,Journal of Experimental Biology,Mammal,O₂/CO₂,"Larvae or juveniles, Adults","Larvae or juveniles, Adults","Energetics and metabolism, Development",metabolic rate; body temperature; blood glucose,NA
Liu_et_al_2018,2018,Effects of both cold and heat stress on the liver of the giant spiny frog (Quasipaa spinosa): stress response and histological changes,10.1242/jeb.186379,Journal of Experimental Biology,Amphibian,Temperature,Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism",mitochondrial ROS;stress-response gene expression,NA
Nord_and_Folkow_2018,2018,Seasonal variation in the thermal responses to changing environmental temperature in the world's northernmost land bird,10.1242/jeb.171124,Journal of Experimental Biology,Bird,Temperature,Adults,Adults,Energetics and metabolism,esting metabolic rate (RMR); core temperature; several cutaneous temperatures,NA
Raby_et_al_2016,2016,Aerobic scope increases throughout an ecologically relevant temperature range in coho salmon,10.1242/jeb.137166,Journal of Experimental Biology,Fish,Temperature,Adults,Adults,Energetics and metabolism,aerobic scope,NA
Franklin_et_al_2013,2013,Thermal dependence of cardiac function in arctic fish: implications of a warming world,10.1242/jeb.087130,Journal of Experimental Biology,Fish,Temperature,Adults,Adults,Energetics and metabolism,cardiorespiratory scope,NA
Mignucci_et_al_2021,2021,"Cardiac and behavioural responses to hypoxia and warming in free-swimming gilthead seabream, Sparus aurata",10.1242/jeb.242397,Journal of Experimental Biology,Fish,"Temperature, O₂/CO₂",Adults,Adults,"Energetics and metabolism, Cardiovascular physiology",heart rate;oxygen saturation levels;bradycardia,NA
Shirkey_and_Hammond_2014,2014,The relationship between cardiopulmonary size and aerobic performance in adult deer mice at high altitude,10.1242/jeb.103713,Journal of Experimental Biology,Mammal,O₂/CO₂,Adults,Adults,Energetics and metabolism,aerobic performance,NA
Badr_et_al_2016,2016,"Effects of seasonal acclimatization on temperature dependence of cardiac excitability in the roach, Rutilus rutilus",10.1242/jeb.138347,Journal of Experimental Biology,Insect,Temperature,Adults,Adults,Cardiovascular physiology,heart rate;tachycardia;bradycardia;electrocardiograms;action potentials recordings,NA
Norin_et_al_2014,2014,Aerobic scope does not predict the performance of a tropical eurythermal fish at elevated temperatures,10.1242/jeb.089755,Journal of Experimental Biology,Fish,Temperature,Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism",aerobic scope;thermal preference and tolerance;SMR;MMR,NA
Lombardi_et_al_2020,2020,"The effect of ambient oxygen on the thermal performance of a cockroach, Nauphoeta cinerea",10.1242/jeb.208306,Journal of Experimental Biology,Insect,O₂/CO₂,Larvae or juveniles,Larvae or juveniles,"Environmental tolerance and preference, Energetics and metabolism, Development",thermal performance curve;ROUTINE METABOLIC RATE;growth rate,NA
Kouyoumdjian_et_al_2019,2019,"Transplanting gravid lizards to high elevation alters maternal and embryonic oxygen physiology, but not reproductive success or hatchling phenotype",10.1242/jeb.206839,Journal of Experimental Biology,Reptile,O₂/CO₂,"Embryos, Adults","Embryos, Adults","Energetics and metabolism, Reproduction",oxygen physiology;reproductive output;metabolic rate,NA
Terrell_et_al_2013,2013,Cryptic impacts of temperature variability on amphibian immune function,10.1242/jeb.089896,Journal of Experimental Biology,Amphibian,Temperature,Adults,Adults,Immune function and stress physiology,immune response,NA
Spence_ET_AL_2022,2022,Anna's hummingbird (Calypte anna) physiological response to novel thermal and hypoxic conditions at high elevations,10.1242/jeb.243294,Journal of Experimental Biology,Bird,"Temperature, O₂/CO₂",Adults,Adults,Energetics and metabolism,metabolic rates;,NA
Ivy_and_Scott_2021,2021,Life-long exposure to hypoxia affects metabolism and respiratory physiology across life stages in high-altitude deer mice (<i>Peromyscus maniculatus</i>),10.1242/jeb.237024,Journal of Experimental Biology,Mammal,O₂/CO₂,Mix (before and after hatching),"Larvae or juveniles, Adults",Energetics and metabolism,oxygen consumption; breathing,NA
Lefevre_ET_AL_2014,2014,"Air breathing in the Arctic: influence of temperature, hypoxia, activity and restricted air access on respiratory physiology of the Alaska blackfish Dallia pectoralis",10.1242/jeb.105023,Journal of Experimental Biology,Fish,"Temperature, O₂/CO₂",Adults,Adults,"Energetics and metabolism, Development","gill morpjhology;respirometry, metabolic rate",NA
Seebacher_et_al_2014,2014,The cost of muscle power production: muscle oxygen consumption per unit work increases at low temperatures in Xenopus laevis,10.1242/jeb.101147,Journal of Experimental Biology,Amphibian,Temperature,Adults,Adults,Energetics and metabolism,oxygen consumption;muscle performance,NA
EggintoN_et_al_2013,2013,s cold acclimation of benefit to hibernating rodents?,10.1242/jeb.079160,Journal of Experimental Biology,Mammal,Temperature,Adults,Adults,Cardiovascular physiology,heart rate; cardiovascular performance; cardiac output,NA
Bugg_et_al_2023,2023,Elevated temperatures dampen the innate immune capacity of developing lake sturgeon (Acipenser fulvescens),10.1242/jeb.245335,Journal of Experimental Biology,Fish,Temperature,Adults,Adults,"Energetics and metabolism, Immune function and stress physiology",innate immune responses; fatty acid responses; metabolic rate; stress; cortisol concentration,NA
Lim_et_al_2023,2023,Intergenerational plasticity to cycling high temperature and hypoxia affects offspring stress responsiveness and tolerance in zebrafish,10.1242/jeb.245583,Journal of Experimental Biology,Fish,"Temperature, O₂/CO₂",Adults,"Larvae or juveniles, Adults","Environmental tolerance and preference, Energetics and metabolism, Reproduction, Development",early survival and development; cortisol and heat shock proteins (HSPs);heat and hypoxia tolerance; fecundity,NA
Jass_et_al_2019,2019,An impressive capacity for cold tolerance plasticity protects against ionoregulatory collapse in the disease vector Aedes aegypti,10.1242/jeb.214056,Journal of Experimental Biology,Insect,Temperature,"Larvae or juveniles, Adults","Larvae or juveniles, Adults",Environmental tolerance and preference,chill coma onset (CCO) and recovery time (CCRT),NA
Ekstrom_ET_AL_2017,2017,"Thermal sensitivity and phenotypic plasticity of cardiac mitochondrial metabolism in European perch, Perca fluviatilis",10.1242/jeb.150698,Journal of Experimental Biology,Fish,Temperature,Adults,Adults,Energetics and metabolism,mitochondrial metabolic capacity,NA
Hawkins_and_Warner_2017,2017,Warm preconditioning protects against acute heat-induced respiratory dysfunction and delays bleaching in a symbiotic sea anemone,10.1242/jeb.150391,Journal of Experimental Biology,Other invertebrate,Temperature,Adults,Adults,Energetics and metabolism,mitochondrial respiration,NA
Kingsolver_et_al_2016,2016,Plasticity of upper thermal limits to acute and chronic temperature variation in Manduca sexta larvae,10.1242/jeb.138321,Journal of Experimental Biology,Insect,Temperature,Larvae or juveniles,Larvae or juveniles,"Environmental tolerance and preference, Development","CTmax, development",NA
Litmer_and_Beaupre_2024,2024,Cycling temperature treatments affect estimates of digestive performance in prairie lizards (Sceloporus consobrinus),10.1242/jeb.247006,Journal of Experimental Biology,Reptile,Temperature,Adults,Adults,Energetics and metabolism,energy intake; digestive performance,NA
Joyce_et_al_2018,2018,Exploring nature's natural knockouts: in vivo cardiorespiratory performance of Antarctic fishes during acute warming,10.1242/jeb.183160,Journal of Experimental Biology,Fish,Temperature,Adults,Adults,"Energetics and metabolism, Cardiovascular physiology",heart rate; cardiovascular felxibility;oxygen consumption,NA
Swanson_et_al_2014,2014,Relative roles of temperature and photoperiod as drivers of metabolic flexibility in dark-eyed juncos,10.1242/jeb.096677,Journal of Experimental Biology,Bird,Temperature,Adults,Adults,Energetics and metabolism,metabolic rate,NA
Stager_et_al_2020,2020,Body temperature maintenance acclimates in a winter-tenacious songbird,10.1242/jeb.221853,Journal of Experimental Biology,Bird,Temperature,Adults,Adults,Energetics and metabolism,metabolic rates; thermal conductance,NA
von Herbing_et_al_2022,2022,"Multiple stressors, allostasis and metabolic scaling in developing zebrafish",10.1242/jeb.244095,Journal of Experimental Biology,Fish,"Temperature, O₂/CO₂","Embryos, Larvae or juveniles",Larvae or juveniles,"Energetics and metabolism, Development",dry mass;respirometric assays;larval energetics,NA
Degut_et_al_2022,2022,Irreversible impact of early thermal conditions: an integrative study of developmental plasticity linked to mobility in a butterfly species,10.1242/jeb.243724,Journal of Experimental Biology,Insect,Temperature,Larvae or juveniles,Adults,"Reproduction, Development",fecundity; body size,NA
Gambrel_et_al_2022,2022,Can temperature-dependent changes in myocardial contractility explain why fish only increase heart rate when exposed to acute warming?,10.1242/jeb.243152,Journal of Experimental Biology,Fish,Temperature,Adults,Adults,Cardiovascular physiology,heart rate; stroke volume,NA
Sorby_et_al_2018,2018,Can physiological engineering/programming increase multi-generational thermal tolerance to extreme temperature events?,10.1242/jeb.174672,Journal of Experimental Biology,Other invertebrate,Temperature,Adults,Adults,Environmental tolerance and preference,thermal tolerance; thermal preference,NA
Slotsbo_ET_AL_2016,2016,Reversibility of developmental heat and cold plasticity is asymmetric and has long-lasting consequences for adult thermal tolerance,10.1242/jeb.143750,Journal of Experimental Biology,Insect,Temperature,"Embryos, Adults",Adults,Environmental tolerance and preference,HEAT TOLERANCE;COLD TOLERANCE,NA
Willot_et_al_2021,2021,Interactions between developmental and adult acclimation have distinct consequences for heat tolerance and heat stress recovery,10.1242/jeb.242479,Journal of Experimental Biology,Insect,Temperature,"Larvae or juveniles, Adults",Adults,Environmental tolerance and preference,thermal tolerance,NA
Pichaud_et_al_2017,2017,Dynamic changes in cardiac mitochondrial metabolism during warm acclimation in rainbow trout,10.1242/jeb.152421,Journal of Experimental Biology,Fish,Temperature,Adults,Adults,Energetics and metabolism,mitochondrial oxygen consumption,NA
Moyen_et_al_2020,2020,"Mussel acclimatization to high, variable temperatures is lost slowly upon transfer to benign conditions",10.1242/jeb.222893,Journal of Experimental Biology,Other invertebrate,Temperature,Adults,Adults,"Environmental tolerance and preference, Cardiovascular physiology",thermal performance; heart rate,NA
Haverinen_and_Vornanen_2020,2020,Reduced ventricular excitability causes atrioventricular block and depression of heart rate in fish at critically high temperatures,10.1242/jeb.225227,Journal of Experimental Biology,Fish,Temperature,Adults,Adults,Cardiovascular physiology,heart rate,NA
Zhang_and_Dong_2021,2021,"Membrane lipid metabolism, heat shock response and energy costs mediate the interaction between acclimatization and heat-hardening response in the razor clam Sinonovacula constricta",10.1242/jeb.243031,Journal of Experimental Biology,Other invertebrate,Temperature,Adults,Adults,Environmental tolerance and preference,thermal tolerance; heat shock proteins,NA
Strand_et_al_2024,2024,Coral species-specific loss and physiological legacy effects are elicited by an extended marine heatwave,10.1242/jeb.246812,Journal of Experimental Biology,Other invertebrate,Temperature,Unclear,Unclear,Energetics and metabolism,oxidative stress;respiration rates,NA
Coggins_et_al_2021,2021,Breaking free from thermodynamic constraints: thermal acclimation and metabolic compensation in a freshwater zooplankton species,10.1242/jeb.237727,Journal of Experimental Biology,Other invertebrate,Temperature,Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism",oxygen consumption; metabolic rate; mitochondrial membrane potential; heat tolerance,NA
Findsen_et_al_2013,2013,"Rapid cold hardening improves recovery of ion homeostasis and chill coma recovery time in the migratory locust, Locusta migratoria",10.1242/jeb.081141,Journal of Experimental Biology,Insect,Temperature,Adults,Adults,"Environmental tolerance and preference, Osmoregulation",water homeostasis; chill tolerance,NA
Rummel_et_al_2022,2022,A comparison of thermal sensitivities of wing muscle contractile properties from a temperate and tropical bat species,10.1242/jeb.243987,Journal of Experimental Biology,Mammal,Temperature,Adults,Adults,Environmental tolerance and preference,temperature sensitivities,NA
Isaza_et_al_2020,2020,Thermal acclimation offsets the negative effects of nitrate on aerobic scope and performance,10.1242/jeb.224444,Journal of Experimental Biology,Fish,Temperature,Larvae or juveniles,Adults,"Environmental tolerance and preference, Energetics and metabolism, Development","ish performance (growth, swimming);aerobic scope (AS);upper thermal tolerance (CTmax)",NA
Roberts_and_Williams_2022,2022,The impact of metabolic plasticity on winter energy use models,10.1242/jeb.243422,Journal of Experimental Biology,Insect,Temperature,Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism",metabolic rate; thermal sensitivity,NA
Thoral_et_al_2022,2022,Different patterns of chronic hypoxia lead to hierarchical adaptive mechanisms in goldfish metabolism,10.1242/jeb.243194,Journal of Experimental Biology,Fish,O₂/CO₂,Adults,Adults,Energetics and metabolism,"metabolic rate;,mitochondrial respiration",NA
Kingsolver_et_al_2021,2021,Responses of Manduca sexta larvae to heat waves,10.1242/jeb.236505,Journal of Experimental Biology,Insect,Temperature,Larvae or juveniles,Larvae or juveniles,Development,survival; development;mass;growth rate,NA
Currie_et_al_2018,2018,Cold-hearted bats: uncoupling of heart rate and metabolism during torpor at sub-zero temperatures,10.1242/jeb.170894,Journal of Experimental Biology,Mammal,Temperature,Adults,Adults,"Energetics and metabolism, Cardiovascular physiology",oxygen consumption; heart rate,NA
Moyen_et_al_2022,2022,Effects of heat acclimation on cardiac function in the intertidal mussel Mytilus californianus: can laboratory-based indices predict survival in the field?,10.1242/jeb.243050,Journal of Experimental Biology,Other invertebrate,Temperature,Adults,Adults,"Environmental tolerance and preference, Development","survival;Tcrit,Tflat;thermal tolerance",NA
Spinks_et_al_2019,2019,Developmental effects of heatwave conditions on the early life stages of a coral reef fish,10.1242/jeb.202713,Journal of Experimental Biology,Fish,Temperature,Larvae or juveniles,Adults,"Environmental tolerance and preference, Development",body size; thermal maximum,NA
Czarnoleski_et_al_2013,2013,Flies developed small bodies and small cells in warm and in thermally fluctuating environments,10.1242/jeb.083535,Journal of Experimental Biology,Insect,Temperature,Embryos,Adults,Development,development time; cell size; body size,NA
Colinet_et_al_2013,2013,Rapid decline of cold tolerance at young age is associated with expression of stress genes in Drosophila melanogaster,10.1242/jeb.076216,Journal of Experimental Biology,Insect,Temperature,Adults,Adults,Environmental tolerance and preference,cold tolerance; heat shock proteins,NA
Maskrey_et_al_2024,2024,Differential metabolic responses in bold and shy sea anemones during a simulated heatwave,10.1242/jeb.244662,Journal of Experimental Biology,Other invertebrate,Temperature,Adults,Adults,Energetics and metabolism,resting metabolic rate,NA
Stecyk_et_al_2020,2020,Cardiophysiological responses of the air-breathing Alaska blackfish to cold acclimation and chronic hypoxic submergence at 5°C,10.1242/jeb.225730,Journal of Experimental Biology,Fish,"Temperature, O₂/CO₂",Adults,Adults,Cardiovascular physiology,heart rate;ventricular action potential,NA
Tate_et_al_2017,2017,Circulatory mechanisms underlying adaptive increases in thermogenic capacity in high-altitude deer mice,10.1242/jeb.164491,Journal of Experimental Biology,Mammal,O₂/CO₂,Adults,Adults,"Energetics and metabolism, Cardiovascular physiology",oxygen consumption; oxygen saturation; heart rate,NA
Andersen_et_al_2017,2017,Cold acclimation improves chill tolerance in the migratory locust through preservation of ion balance and membrane potential,10.1242/jeb.150813,Journal of Experimental Biology,Insect,Temperature,Adults,Adults,Environmental tolerance and preference,chill coma recovery;,NA
Massamba-N'Siala_et_al_2014,2014,Trans-generational plasticity in physiological thermal tolerance is modulated by maternal pre-reproductive environment in the polychaete Ophryotrocha labronica,10.1242/jeb.094474,Journal of Experimental Biology,Other invertebrate,Temperature,"Adults, Mix (before and after hatching)",Adults,Environmental tolerance and preference,thermal tolerance,NA
Nati_et_al_2023,2023,"In a marine teleost, the significance of oxygen supply for acute thermal tolerance depends upon the context and the endpoint used",10.1242/jeb.245210,Journal of Experimental Biology,Fish,Temperature,Larvae or juveniles,Unclear,"Environmental tolerance and preference, Energetics and metabolism",thermal maximum;oxygen uptake,NA
Fields_et_al_2016,2016,Rapid proteomic responses to a near-lethal heat stress in the salt marsh mussel Geukensia demissa,10.1242/jeb.141176,Journal of Experimental Biology,Other invertebrate,Temperature,Adults,Adults,Environmental tolerance and preference,heat shock proteins,NA
Klepsatel_ET_AL_2019,2019,Reproductive fitness of Drosophila is maximised by optimal developmental temperature,10.1242/jeb.202184,Journal of Experimental Biology,Insect,Temperature,Embryos,Adults,"Environmental tolerance and preference, Development",ovariole number; body size;thermal performance,NA
Vu Chau Nguyen_et_al_2019,2019,Naked mole-rats reduce the expression of ATP-dependent but not ATP-independent heat shock proteins in acute hypoxia,10.1242/jeb.211243,Journal of Experimental Biology,Mammal,O₂/CO₂,Adults,Adults,Environmental tolerance and preference,heat shock proteins,NA
Lau_et_al_2019,2019,Species- and tissue-specific differences in ROS metabolism during exposure to hypoxia and hyperoxia plus recovery inmarine sculpins,10.1242/jeb.206896,Journal of Experimental Biology,Fish,O₂/CO₂,Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism",ROS metabolism;hypoxia tolerance;,NA
Blackburn_et_al_2014,2014,Evolutionary capacity of upper thermal limits: beyond single trait assessments,10.1242/jeb.099184,Journal of Experimental Biology,Insect,Temperature,Adults,Adults,Environmental tolerance and preference,heat tolerance; thermal limits,NA
Findsen_et_al_2014,2014,Why do insects enter and recover from chill coma? Low temperature and high extracellular potassium compromise muscle function in Locusta migratoria,10.1242/jeb.098442,Journal of Experimental Biology,Insect,Temperature,Adults,Adults,Environmental tolerance and preference,CTmin,NA
Ma_et_al_2015,2015,Daily temperature extremes play an important role in predicting thermal effects,10.1242/jeb.122127,Journal of Experimental Biology,Insect,Temperature,Embryos,"Larvae or juveniles, Adults","Reproduction, Development",survival; longevity;fecundity;,NA
Tikkanen_ET_AL_2017,2017,Effects of prolonged anoxia on electrical activity of the heart in crucian carp (Carassius carassius),10.1242/jeb.145177,Journal of Experimental Biology,Fish,O₂/CO₂,Adults,Adults,Cardiovascular physiology,HEART RATE;ECG;VENTRICULAR ACTION POTENTIAL,NA
Walczynska_Sobczyk_2021,2021,"Aerobic scope does matter in the temperature-size rule, but only under optimal conditions",10.1242/jeb.242884,Journal of Experimental Biology,Mammal,"Temperature, O₂/CO₂",Adults,Adults,"Energetics and metabolism, Reproduction, Development",aerobic metabolism; body size; growth rate; eggs/female ratio,NA
Du_et_al_2016,2016,Mitochondrial physiology and reactive oxygen species production are altered by hypoxia acclimation in killifish (Fundulus heteroclitus),10.1242/jeb.132860,Journal of Experimental Biology,Fish,O₂/CO₂,Adults,Adults,Energetics and metabolism,mitochondrial respiration;ROS production,NA
Hu_et_al_2017,2017,"Temperature and photoperiod as environmental cues affect body mass and thermoregulation in Chinese bulbuls, Pycnonotus sinensis",10.1242/jeb.143842,Journal of Experimental Biology,Bird,"Temperature, Interaction with non-climatic stressor",Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism",metabolic activity; resting metabolic rate;thermoregulation,NA
Costa_et_al_2018,2018,Higher environmental temperatures promote acceleration of spermatogenesis in vivo in mice (Mus musculus),10.1016/j.jtherbio.2018.07.010,Journal of Thermal Biology,Mammal,Temperature,Adults,Adults,Reproduction,Duration of spermatogenesis; number of germ and Leydig cells apoptosis; Sertoli cell and spermatogenic efficiencies,NA
Zverev_et_al_2018,2018,Ambient temperatures differently influence colour morphs of the leaf beetle Chrysomela lapponica: Roles of thermal melanism and developmental plasticity,10.1016/j.jtherbio.2018.03.019,Journal of Thermal Biology,Insect,Temperature,Adults,Adults,Reproduction,Body temperature; running speed; egg production,NA
Ferrazza_et_al_2017,2017,Thermoregulatory responses of Holstein cows exposed to experimentally induced heat stress,10.1016/j.jtherbio.2017.03.014,Journal of Thermal Biology,Mammal,Temperature,Adults,Adults,"Energetics and metabolism, Cardiovascular physiology",Vaginal temperature; rectal temperature; respiratory rate; heart rate; dry matter intake,NA
Mueller-Ribeiro_et_al_2017,2017,Changes in systolic arterial pressure variability are associated with the decreased aerobic performance of rats subjected to physical exercise in the heat,10.1016/j.jtherbio.2016.11.006,Journal of Thermal Biology,Mammal,Temperature,Adults,Adults,Cardiovascular physiology,heart rate; systolic arterial pressure,NA
Gallego_et_al_2016,2016,A protocol for analysing thermal stress in insects using infrared thermography,10.1016/j.jtherbio.2015.12.006,Journal of Thermal Biology,Insect,Temperature,Adults,Adults,Environmental tolerance and preference,rate of cooling; stupor temperature; haemolymph freezing temperature; thermoregulation,NA
Narayan_and_Hero_2014,2014,Repeated thermal stressor causes chronic elevation of baseline corticosterone and suppresses the physiological endocrine sensitivity to acute stressor in the cane toad (Rhinella marina),10.1016/j.jtherbio.2014.02.011,Journal of Thermal Biology,Amphibian,"Temperature, Interaction with non-climatic stressor",Adults,Adults,Immune function and stress physiology,Corticosterone levels,NA
